ray_x                  ray_y                    Time                     abs_prob
0                        -0.245                   6.000000000000001E-9     0.6048058268859091
0                        -0.235                   4.500000000000001E-9     0.6621091700974634
0                        -0.225                   6.000000000000001E-9     0.7476324090881643
0                        -0.215                   6.000000000000001E-9     0.7555628302543044
0                        -0.205                   6.000000000000001E-9     0.7837847749509456
0                        -0.195                   6.000000000000001E-9     0.7750647313412915
0                        -0.185                   6.000000000000001E-9     0.7773394651449528
0                        -0.175                   6.000000000000001E-9     0.7726338667478503
0                        -0.165                   6.000000000000001E-9     0.7662886928086016
0                        -0.155                   6.000000000000001E-9     0.7643704779498187
0                        -0.145                   4.500000000000001E-9     0.6963767955201174
0                        -0.135                   3.5000000000000003E-9    0.6069773993643794
0                        -0.125                   3.0000000000000004E-9    0.5962406402437238
0                        -0.115                   2.0E-9                   0.5896450239320045
0                        -0.105                   6.000000000000001E-9     0.6194341299914248
0                        -0.095                   6.000000000000001E-9     0.7295598381769461
0                        -0.085                   6.000000000000001E-9     0.7679326996449723
0                        -0.075                   6.000000000000001E-9     0.7647282288930014
0                        -0.065                   6.000000000000001E-9     0.7598443701496039
0                        -0.055                   6.000000000000001E-9     0.7599561657009715
0                        -0.045                   6.000000000000001E-9     0.6763877794937448
0                        -0.035                   2.0E-9                   0.5878013285999075
0                        -0.025                   2.0E-9                   0.5877538136390406
0                        -0.015                   2.0E-9                   0.5877206348406494
0                        -0.005                   2.0E-9                   0.587703915881031
0                        0.005                    2.0E-9                   0.5877039157264667
0                        0.015                    2.0E-9                   0.5877207588096692
0                        0.025                    2.0E-9                   0.5877538204270565
0                        0.035                    2.0E-9                   0.5878013305342404
0                        0.045                    6.000000000000001E-9     0.6742682909504154
0                        0.055                    6.000000000000001E-9     0.7655735878038914
0                        0.065                    6.000000000000001E-9     0.7673473806772171
0                        0.075                    6.000000000000001E-9     0.764174597783652
0                        0.085                    6.000000000000001E-9     0.7617146713881164
0                        0.095                    6.000000000000001E-9     0.7232761671941323
0                        0.105                    6.000000000000001E-9     0.6209759965053359
0                        0.115                    2.0E-9                   0.5912133051135895
0                        0.125                    3.0000000000000004E-9    0.5928583105731078
0                        0.135                    3.5000000000000003E-9    0.609580653571714
0                        0.145                    4.500000000000001E-9     0.6760291710452915
0                        0.155                    6.000000000000001E-9     0.7744714698548186
0                        0.165                    6.000000000000001E-9     0.7692505804811705
0                        0.175                    6.000000000000001E-9     0.7681259576847368
0                        0.185                    6.000000000000001E-9     0.7752720619157308
0                        0.195                    6.000000000000001E-9     0.7742425834170493
0                        0.205                    6.000000000000001E-9     0.7774255581818994
0                        0.215                    6.000000000000001E-9     0.7574168410687103
0                        0.225                    6.000000000000001E-9     0.7467596599878719
0                        0.235                    5.5000000000000004E-9    0.6475997340679589
0                        0.245                    5.5000000000000004E-9    0.5976176178616619
0.01                     -0.245                   6.000000000000001E-9     0.5995934116693805
0.01                     -0.235                   4.500000000000001E-9     0.6517397819816598
0.01                     -0.225                   6.000000000000001E-9     0.7572813003149224
0.01                     -0.215                   6.000000000000001E-9     0.7730197532487805
0.01                     -0.205                   6.000000000000001E-9     0.7727087644720916
0.01                     -0.195                   6.000000000000001E-9     0.781532817440895
0.01                     -0.185                   6.000000000000001E-9     0.7832956937324931
0.01                     -0.175                   6.000000000000001E-9     0.7791047320877947
0.01                     -0.165                   6.000000000000001E-9     0.7681581922510948
0.01                     -0.155                   6.000000000000001E-9     0.763511076041394
0.01                     -0.145                   4.500000000000001E-9     0.692365791665445
0.01                     -0.135                   3.5000000000000003E-9    0.6058991026217582
0.01                     -0.125                   3.5000000000000003E-9    0.5979871560661347
0.01                     -0.115                   2.0E-9                   0.5900318228042246
0.01                     -0.105                   6.000000000000001E-9     0.614481885547687
0.01                     -0.095                   6.000000000000001E-9     0.7227149254962696
0.01                     -0.085                   6.000000000000001E-9     0.7693187665857253
0.01                     -0.075                   6.000000000000001E-9     0.7643413296521316
0.01                     -0.065                   6.000000000000001E-9     0.7605022334812388
0.01                     -0.055                   6.000000000000001E-9     0.7645745645805393
0.01                     -0.045                   6.000000000000001E-9     0.6854979822339415
0.01                     -0.035                   6.000000000000001E-9     0.5928513123200723
0.01                     -0.025                   2.0E-9                   0.5877889224925562
0.01                     -0.015                   2.0E-9                   0.5877562285285278
0.01                     -0.005                   2.0E-9                   0.5877421216109406
0.01                     0.005                    2.0E-9                   0.5877420207739031
0.01                     0.015                    2.0E-9                   0.5877555586541906
0.01                     0.025                    2.0E-9                   0.5877889367280352
0.01                     0.035                    4.0E-9                   0.5896064546480001
0.01                     0.045                    6.000000000000001E-9     0.6886767460604809
0.01                     0.055                    6.000000000000001E-9     0.7646506361048027
0.01                     0.065                    6.000000000000001E-9     0.7668661892806211
0.01                     0.075                    6.000000000000001E-9     0.7625327663300154
0.01                     0.085                    6.000000000000001E-9     0.7610091156484033
0.01                     0.095                    6.000000000000001E-9     0.7142980213699547
0.01                     0.105                    6.000000000000001E-9     0.6116641925593772
0.01                     0.115                    2.0E-9                   0.5892318138533476
0.01                     0.125                    3.0000000000000004E-9    0.5956636752625422
0.01                     0.135                    3.5000000000000003E-9    0.6050217933976606
0.01                     0.145                    5.0E-9                   0.6973341488266706
0.01                     0.155                    6.000000000000001E-9     0.7782756579460782
0.01                     0.165                    6.000000000000001E-9     0.7666901373136344
0.01                     0.175                    6.000000000000001E-9     0.7609295131193451
0.01                     0.185                    6.000000000000001E-9     0.78141921650722
0.01                     0.195                    6.000000000000001E-9     0.7759600199307379
0.01                     0.205                    6.000000000000001E-9     0.7784368027649758
0.01                     0.215                    6.000000000000001E-9     0.7595795181611363
0.01                     0.225                    6.000000000000001E-9     0.7494112081518853
0.01                     0.235                    4.500000000000001E-9     0.6517688645359123
0.01                     0.245                    4.500000000000001E-9     0.5956794018012902
0.02                     -0.245                   4.500000000000001E-9     0.5838328678160657
0.02                     -0.235                   4.500000000000001E-9     0.6407265891197131
0.02                     -0.225                   6.000000000000001E-9     0.7438221210149123
0.02                     -0.215                   6.000000000000001E-9     0.7602613950371027
0.02                     -0.205                   6.000000000000001E-9     0.7733201532403516
0.02                     -0.195                   6.000000000000001E-9     0.7728642904135212
